kf, avgmse, stdmse, avgmae, stdmae, avgmape, stdmape, avgr2, stdr2, avgacc, stdacc, avgbal_acc, stdbal_acc
1,0.0009714547154772888,0.00035532090261648666,0.02143094464937991,0.0035777951132111648,0.031634120915644305,0.005473948679141795,0.39338232481979657,0.22187749614478422,0.72,0.16,0.7333333333333334,0.20000000000000004
2,0.0027552776002010655,0.0008886333082653327,0.041800845259698516,0.006535424666967452,0.05923782301615026,0.008879970322676595,0.25686155501543323,0.23967732863563354,0.43999999999999995,0.07999999999999999,0.5333333333333333,0.06666666666666667
3,0.0018349210037914825,0.00012463481640697624,0.033300534002923564,0.00291671623678857,0.04888819784976003,0.004210266989667487,-0.21389985076598625,0.082452696723214,0.6,0.0,0.6666666666666666,0.0
4,0.0019168908982617253,0.000372487774322376,0.03533596477344726,0.0029637811596118593,0.05109142911117531,0.004013489685075487,0.34935315641025244,0.12643285794637518,0.31999999999999995,0.15999999999999998,0.33333333333333337,0.21081851067789195
5,0.0010660700690457857,0.0003206262358356508,0.027761880753094513,0.003921550686086593,0.04141351006442395,0.006262190004366736,0.3991755713157369,0.18070113828406076,0.36,0.08,0.3333333333333333,0.10540925533894598
6,0.001970636368294633,0.0009613590384565698,0.035609398053066385,0.008834041508365647,0.05309916275915414,0.01412410383337626,-0.26265771601140353,0.6159773702009564,0.5599999999999999,0.19595917942265426,0.5333333333333334,0.24494897427831783
7,0.0037482862920238226,0.0009782015986558796,0.05524761028514404,0.008373289054025464,0.08584631651233803,0.012912615753771648,-2.012220146070438,0.7861081926051615,0.36,0.08,0.4666666666666666,0.06666666666666668
8,0.0023214784282687612,0.0004651614949467921,0.033109840965494394,0.0029313294989196997,0.04749168401947741,0.004702090159838956,-0.08562399219759276,0.21752968841383236,0.56,0.14966629547095767,0.4666666666666666,0.12472191289246472
