kf, mse, mae, mape, r2, acc, bal_acc
1,0.0012866906104984682,0.025302006703320345,0.03772382145945918,0.1965356136716131,0.4,0.3333333333333333
1,0.0008865640724172412,0.0238851804551514,0.03584989552171879,0.4463916557924068,0.8,0.8333333333333334
1,0.0004105977975457897,0.014875938009704614,0.021931494103723047,0.7436052577510374,0.8,0.8333333333333334
1,0.001415552049434931,0.021535813128869673,0.030766709840397994,0.11606904609763524,0.8,0.8333333333333334
1,0.0008578690474900137,0.02155578494985353,0.03189868365292249,0.4643100507862903,0.8,0.8333333333333334
2,0.002693235314407036,0.043846219176324495,0.06223792112941623,0.2735952619148392,0.4,0.5
2,0.0025184458407220382,0.0413352066221558,0.058371815227987,0.32073852532483504,0.4,0.5
2,0.0026819786819309776,0.0376455241384827,0.05312619857974743,0.2766313394242017,0.6,0.6666666666666666
2,0.0015604625347121791,0.03337846338179935,0.04820244970813733,0.5791205570654442,0.4,0.5
2,0.0043222656292330975,0.052798812979730256,0.07425073043546326,-0.16577790865215403,0.4,0.5
3,0.0018547255705412967,0.029432381937646458,0.04347662281009682,-0.22700164674107692,0.6,0.6666666666666666
3,0.0018208310074905257,0.032289272997521955,0.0479040933993429,-0.20457855335226505,0.6,0.6666666666666666
3,0.0020494260957911814,0.038318485472344954,0.05629965232650132,-0.3558066133072302,0.6,0.6666666666666666
3,0.0016664260114138039,0.0340563361383911,0.049591214516470826,-0.10243126673460368,0.6,0.6666666666666666
3,0.0017831963337206036,0.03240619346871336,0.047169406196388305,-0.17968117369475545,0.6,0.6666666666666666
4,0.0022820717644044626,0.036240559514141846,0.05122293681862764,0.2254004692173579,0.2,0.16666666666666666
4,0.0012366585994442881,0.029778731956079097,0.043892751886575446,0.5802431869981768,0.6,0.6666666666666666
4,0.0020258733147213797,0.03783381093938598,0.0547687117985135,0.3123614500275056,0.2,0.16666666666666666
4,0.0021995824100285374,0.03776577819783935,0.054958258213436695,0.25339968299792426,0.4,0.5
4,0.0018402684027099589,0.035060943259790034,0.05061448683872329,0.37536099281029744,0.2,0.16666666666666666
5,0.0010429305505887877,0.02522581281970826,0.03638937857169332,0.412216729078846,0.4,0.5
5,0.0014919406521806246,0.032430240055810564,0.05037470916333371,0.15915996893188056,0.2,0.16666666666666666
5,0.0009406901689173972,0.02806724366832891,0.04201837532908934,0.46983819383036796,0.4,0.3333333333333333
5,0.0013001697347704328,0.03131815853427735,0.04546115473498761,0.26723978022830575,0.4,0.3333333333333333
5,0.0005546192387716857,0.021767948687347483,0.0328239325230158,0.6874231845092844,0.4,0.3333333333333333
6,0.0012741233275381121,0.03257242408063352,0.04894333678350349,0.18362328202724487,0.4,0.3333333333333333
6,0.001141578421377223,0.0246700634573364,0.03563672821981981,0.268549578514346,0.8,0.8333333333333334
6,0.0013459322539205942,0.02883831229474485,0.04169641701450563,0.13761271588012736,0.8,0.8333333333333334
6,0.00243483539088047,0.04632544484403074,0.06949134813235165,-0.5600867531808456,0.4,0.3333333333333333
6,0.003656712447756766,0.04564074558858644,0.06972798364559014,-1.3429874032978901,0.4,0.3333333333333333
7,0.004049879783102431,0.06077982015834351,0.09391438908766733,-2.2545885029603254,0.4,0.5
7,0.0030462031906049987,0.05027335710750123,0.077952860239456,-1.448007944134409,0.4,0.5
7,0.0048977726271785295,0.06013873644099732,0.09445456669809482,-2.935977198394252,0.2,0.3333333333333333
7,0.002233898539959203,0.04119959898219605,0.0642269054722977,-0.7952188445854398,0.4,0.5
7,0.004513677319273949,0.06384653873668214,0.09868286106417432,-2.6273082402777646,0.4,0.5
8,0.002995662918552181,0.030089029935803247,0.04236211494449156,-0.40090189825378086,0.8,0.6666666666666666
8,0.0023457656586479887,0.0371983692683838,0.054102677329302365,-0.09698175442473644,0.4,0.3333333333333333
8,0.0015689661892082946,0.031171743635144057,0.045444361326613426,0.2662833661471533,0.4,0.3333333333333333
8,0.002520293080067247,0.030996786675750697,0.04352146400793777,-0.17859834568051847,0.6,0.5
8,0.002176704294868094,0.03609327531239015,0.05202780248904195,-0.017921328776081324,0.6,0.5
